rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,b,f_bias,ds_err
0.05,0.15357142857142858,89366,0.08762745818846641,5.838406643611998,19.228986490834696,0.13575698472380163,2.0,1.605285576073085,2.051680593982715,17.80267848704035
0.15357142857142858,0.2571428571428571,171560,0.1987203963320508,22.766200241515087,44.704759784067804,0.13351879271238024,2.0,1.5171816962073772,1.2942721900353846,14.32706299811238
0.2571428571428571,0.3607142857142857,257078,0.3045572229332549,55.89781000420022,104.51947410425858,0.13036418690047083,2.0,1.4697416561427659,1.2722176585803837,11.574671570044519
0.3607142857142857,0.46428571428571425,343464,0.40923647173232053,71.46315293929614,129.12858812486536,0.12943099025211846,2.0,1.4477968306890354,1.2480517904807178,10.557975639620794
0.46428571428571425,0.5678571428571428,429398,0.513466609609304,70.40418518020812,125.20676752062876,0.12652211954817114,2.0,1.4138862196294801,1.257809484556893,10.351602726107854
0.5678571428571428,0.6714285714285715,512576,0.6174751089753187,64.47016533828683,108.96834880150637,0.12619347287491992,2.0,1.3933550392375234,1.2130530481825017,8.355590697103223
0.6714285714285715,0.775,603806,0.7213578466039882,64.87800597031166,113.01755492457059,0.12424789316473078,2.0,1.3874263836960956,1.2555628728649681,8.600107844358021
0.775,0.8785714285714286,700384,0.8251623216936514,47.48701719148271,83.25875383249607,0.12298276251749968,2.0,1.3940279519410563,1.2577187439711044,7.958133168587437
0.8785714285714286,0.9821428571428571,793707,0.9289147716885681,46.29023378301516,80.64750049212837,0.12245868730036587,2.0,1.3971635488813863,1.2469650782602468,7.2682391436476035
0.9821428571428571,1.0857142857142856,877049,1.0326308782000686,39.643671344407664,66.57207935110874,0.12145471404540734,2.0,1.391905751537142,1.206447494107326,6.760634228822525
1.0857142857142856,1.1892857142857143,959859,1.1363205928768159,43.16848639810729,76.60625198866904,0.12104482766382685,2.0,1.3830408726670573,1.2831055349856946,7.058232349950401
1.1892857142857143,1.292857142857143,1052397,1.2399905365010835,36.003043026694556,62.54025649267697,0.12006463795764191,2.0,1.381367229000366,1.257509572789746,6.163344597339265
1.292857142857143,1.3964285714285714,1143623,1.343645285431101,36.02905467787236,61.584330950369555,0.12069347074646054,2.0,1.3815404835419955,1.2372394083341849,5.983257747591356
1.3964285714285714,1.5,1240467,1.447288104401766,35.65691961042116,62.086520836941176,0.12025809977583087,2.0,1.3875055219639074,1.2549279200290873,5.195380861517565
