rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,b,f_bias,ds_err
0.05,0.15357142857142858,75077,0.08762745818846641,27.1765695757971,56.78978296934659,0.14655498431084238,2.0,1.4358179811457228,1.4553792714421754,17.939519519005728
0.15357142857142858,0.2571428571428571,148698,0.1987203963320508,3.1494999387068794,11.12312389414741,0.1447571092700427,2.0,1.388364028558177,2.543793290321873,12.271743847641119
0.2571428571428571,0.3607142857142857,224035,0.3045572229332549,1.3643872244503292,5.310236564546061,0.14452947956522294,2.0,1.3923662136978605,2.795263464997268,9.740518140944998
0.3607142857142857,0.46428571428571425,298995,0.40923647173232053,4.1755479810664795,7.858183734600009,0.14419861076909832,2.0,1.3895246065036553,1.3543860081785835,8.916378928242304
0.46428571428571425,0.5678571428571428,376064,0.513466609609304,3.181002286331394,5.437377192502021,0.14420097102522186,2.0,1.392040138621258,1.2279303165654363,7.611375128259252
0.5678571428571428,0.6714285714285715,452501,0.6174751089753187,-5.494509899603242,-8.19537345143557,0.14367296670568233,2.0,1.3863858962699833,1.075859741758578,7.266794873819734
0.6714285714285715,0.775,532212,0.7213578466039882,1.0641035665155534,0.5512750020516018,0.1435309127458815,2.0,1.39021935736371,0.3726499518247371,6.396622455212513
0.775,0.8785714285714286,608583,0.8251623216936514,6.632004775804098,10.844469714538798,0.14252731492593726,2.0,1.3763542277321033,1.1880460336346543,6.622375078452306
0.8785714285714286,0.9821428571428571,688820,0.9289147716885681,15.684109928610185,28.36013112835936,0.14180648623555722,2.0,1.3719872532053208,1.317948015568169,6.238937572084327
0.9821428571428571,1.0857142857142856,764060,1.0326308782000686,16.892936528499845,28.492008435282603,0.14166827719665162,2.0,1.361578795560501,1.2387256616597289,6.18821310451267
1.0857142857142856,1.1892857142857143,840093,1.1363205928768159,25.813819290337285,46.29225928434938,0.14139067896617863,2.0,1.3524791025400837,1.3259451162712301,5.336136130547871
1.1892857142857143,1.292857142857143,916555,1.2399905365010835,26.112557321755478,47.62618343996258,0.14124021757668567,2.0,1.3475545652941046,1.353474301919139,5.034274640459102
1.292857142857143,1.3964285714285714,995247,1.343645285431101,24.43426566087813,45.2830799495024,0.14057176926900103,2.0,1.343368513818022,1.3795628839891947,5.2699746387688355
1.3964285714285714,1.5,1070405,1.447288104401766,25.61008755379352,45.31163166368469,0.14019808229550196,2.0,1.3372729299772288,1.323057090902513,5.272116303395643
